parkingarea_id,username_alias,date_in_central_european_time,unix_timestamp,action,longitude_latitude
5193199,2197,2018-06-09 16:55:35.894445,1528559735894,SET_DELETE,"(13.4094153275,52.5251894498)"
5193033,2197,2018-06-09 16:54:49.098228,1528559689098,SET_DELETE,"(13.4074390372,52.5238798485)"
5192775,2197,2018-06-09 16:55:01.650539,1528559701651,SET_DELETE,"(13.4084167188,52.5243356962)"
5193186,2197,2018-06-09 16:55:13.014029,1528559713014,SET_DELETE,"(13.4089151184,52.5244914227)"
5193188,2197,2018-06-09 16:55:17.760000,1528559717760,SET_DELETE,"(13.4090992729,52.5247324576)"
5193187,2197,2018-06-09 16:55:20.859956,1528559720860,SET_DELETE,"(13.4092512271,52.5247141429)"
5193201,2197,2018-06-09 16:55:32.061832,1528559732062,SET_DELETE,"(13.4092637725,52.5252089508)"
5193210,2197,2018-06-09 16:55:45.622506,1528559745623,SET_DELETE,"(13.4095019086,52.5261177453)"
5193217,2197,2018-06-09 16:55:49.104126,1528559749104,SET_DELETE,"(13.4095926122,52.5261129995)"
5193216,2197,2018-06-09 16:55:52.455994,1528559752456,SET_DELETE,"(13.4097435878,52.5260919008)"
5193060,2197,2018-06-09 16:56:00.833681,1528559760834,SET_DELETE,"(13.4087371403,52.5264559657)"
5193062,2197,2018-06-09 16:56:04.495223,1528559764495,SET_DELETE,"(13.4085866597,52.5264783349)"
5192814,2197,2018-06-09 16:56:12.258770,1528559772259,SET_DELETE,"(13.407624582,52.5264833271)"
5192801,2197,2018-06-09 16:56:16.808089,1528559776808,SET_DELETE,"(13.407485218,52.5265244732)"
5192808,2197,2018-06-09 16:56:21.120123,1528559781120,SET_DELETE,"(13.4072916949,52.5260719631)"
5192803,2197,2018-06-09 16:56:24.273877,1528559784274,SET_DELETE,"(13.4068882492,52.5255750732)"
5187816,2197,2018-06-09 16:57:09.561200,1528559829561,SET_DELETE,"(13.4170367459,52.5229198629)"
5633260,2197,2018-06-09 16:58:02.292768,1528559882293,INSERT,"(10.531188112474625,52.2755422164215)"
5633261,2197,2018-06-09 16:58:12.446784,1528559892447,INSERT,"(10.531196367587738,52.27541993997048)"
5633281,2197,2018-06-09 17:18:07.241081,1528561087241,DELETE,"(10.5293649503,52.2755071109)"
5189531,2197,2018-06-09 16:56:43.536988,1528559803537,SET_DELETE,"(13.4155229665,52.5237305029)"
5187868,2197,2018-06-09 16:57:05.071500,1528559825072,SET_DELETE,"(13.4173375232,52.5231770537)"
5633263,2197,2018-06-09 17:00:46.075976,1528560046076,SET_DELETE,"(13.4159791104,52.5214648629)"
5633262,2197,2018-06-09 17:01:09.891209,1528560069891,UPDATE,"(13.4160308883,52.5213098249)"
